dataProcessDependencyId,dataProcess,sourceObjectSchema,sourceObjectName,destinationObjectSchema,destinationObjectName,isEnabled,isTestPromoteEnvironment,isProdPromoteEnvironment
16,gold,NULL,NULL,conformed,dim_project,1,1,1
17,gold,conformed,dim_project,security,stg_user_project_relationship,1,1,1
18,gold,conformed,dim_date,conformed,dim_project,1,1,1
19,gold,NULL,NULL,conformed,dim_company,1,1,1
21,gold,NULL,NULL,operation_financials,dim_account_master,1,1,1
7,gold,NULL,NULL,security,dim_active_directory_user,1,1,1
12,gold,NULL,NULL,security,bridge_user_project_relationship,1,1,1
13,gold,security,stg_user_project_relationship,security,bridge_user_project_relationship,1,1,1
14,gold,security,dim_active_directory_user,security,bridge_user_project_relationship,1,1,1
15,gold,security,stg_user_defined_permission_override,security,bridge_user_project_relationship,0,1,1
22,gold,NULL,NULL,operation_financials,fact_account_balance,1,1,1
23,gold,conformed,dim_project,operation_financials,fact_account_balance,1,1,1
24,gold,conformed,dim_date,operation_financials,fact_account_balance,1,1,1
25,gold,NULL,NULL,operation_financials,fact_contracts,1,1,1
26,gold,conformed,dim_date,operation_financials,fact_contracts,1,1,1
27,gold,conformed,dim_project,operation_financials,fact_contracts,1,1,1
28,gold,conformed,dim_company,operation_financials,fact_contracts,1,1,1
29,gold,operation_financials,dim_account_master,operation_financials,fact_contracts,1,1,1
30,gold,NULL,NULL,schedule,dim_task,1,1,1
31,gold,conformed,dim_date,schedule,dim_task,1,1,1
32,gold,conformed,dim_project,schedule,dim_task,1,1,1
33,gold,NULL,NULL,schedule,dim_wbs,1,1,1
61,gold,NULL,NULL,schedule,dim_activity_code,1,1,1
35,gold,conformed,dim_project,schedule,dim_wbs,1,1,1
62,gold,conformed,dim_project,schedule,dim_activity_code,1,1,1
63,gold,schedule,dim_task,schedule,dim_activity_code,1,1,1
73,gold,NULL,NULL,security,user_menu_export,1,1,1
74,gold,security,bridge_user_project_relationship,security,user_menu_export,1,1,1
75,gold,security,dim_active_directory_user,security,user_menu_export,1,1,1
41,gold,NULL,NULL,conformed,dim_date,1,1,1
52,gold,NULL,NULL,schedule,dim_float_criteria,1,1,1
53,gold,NULL,NULL,schedule,fact_task_current_v,1,1,1
67,gold,NULL,NULL,schedule,dim_successor_task,1,1,1
68,gold,conformed,dim_project,schedule,dim_successor_task,1,1,1
69,gold,schedule,dim_task,schedule,dim_successor_task,1,1,1
76,gold,security,stg_user_defined_permission_override,security,user_menu_export,0,1,1
77,gold,security,stg_user_project_relationship,security,user_menu_export,1,1,1
90,gold,NULL,NULL,conformed,fact_project_details,0,1,1
91,gold,conformed,dim_project,conformed,fact_project_details,0,1,1
92,gold,conformed,dim_date,conformed,fact_project_details,0,1,1
99,gold,conformed,dim_date,labor,fact_monthly_subcontractors_hours_by_project,1,1,1
102,gold,NULL,NULL,conformed_v,dim_overhead_business_unit_v,1,1,1
103,gold,conformed,dim_project,conformed_v,dim_overhead_business_unit_v,1,1,1
8,gold,NULL,NULL,security,stg_user_defined_permission_override,0,1,1
9,gold,NULL,NULL,security,stg_user_project_relationship,1,1,1
10,gold,security,stg_user_defined_permission_override,security,stg_user_project_relationship,0,1,1
11,gold,security,dim_active_directory_user,security,stg_user_project_relationship,1,1,1
96,gold,NULL,NULL,labor,fact_monthly_subcontractors_hours_by_project,1,1,1
70,gold,NULL,NULL,schedule,dim_predecessor_task,1,1,1
71,gold,conformed,dim_project,schedule,dim_predecessor_task,1,1,1
72,gold,schedule,dim_task,schedule,dim_predecessor_task,1,1,1
93,gold,NULL,NULL,operation_financials,fact_project_cash_position,1,1,1
94,gold,conformed,dim_date,operation_financials,fact_project_cash_position,1,1,1
104,gold,NULL,NULL,labor,fact_weekly_labor_head_count,1,1,1
105,gold,NULL,NULL,labor,fact_weekly_labor_hours_by_project,1,1,1
106,gold,NULL,NULL,mpr,dim_status,1,1,1
107,gold,NULL,NULL,mpr,fact_cor_adjustment,1,1,1
108,gold,NULL,NULL,mpr,fact_cost_vs_budget_summary,1,1,1
109,gold,NULL,NULL,mpr,fact_mpr_base,1,1,1
110,gold,NULL,NULL,mpr,fact_pcco_adjustments,1,1,1
111,gold,NULL,NULL,mpr,fact_reconciliation,1,1,1
112,gold,NULL,NULL,mpr,fact_status,1,1,1
113,gold,NULL,NULL,mpr,fact_upqa,1,1,1
114,gold,NULL,NULL,emars,fact_payroll,0,1,1
115,gold,NULL,NULL,operation_financials,fact_pco_line_items,1,1,1
116,gold,NULL,NULL,safety,dim_body_part,1,1,1
117,gold,NULL,NULL,safety,dim_form,1,1,1
118,gold,NULL,NULL,safety,dim_form_location,1,1,1
119,gold,NULL,NULL,safety,dim_reporter_and_assignor,1,1,1
120,gold,NULL,NULL,safety,dim_status,1,1,1
121,gold,NULL,NULL,safety,fact_event_task,1,1,1
122,gold,NULL,NULL,schedule,dim_group,1,1,1
123,gold,NULL,NULL,schedule,fact_task,1,1,1
124,gold,NULL,NULL,web_app_integration,company_export,1,1,1
125,gold,NULL,NULL,web_app_integration,pbi_dataset_export,1,1,1
126,gold,NULL,NULL,web_app_integration,pbi_workspace_reports_export,1,1,1
127,gold,NULL,NULL,web_app_integration,user_menu_export,0,1,1
128,gold,conformed,dim_company,labor,fact_weekly_labor_head_count,1,1,1
129,gold,conformed,dim_company,web_app_integration,company_export,1,1,1
130,gold,conformed,dim_date,labor,fact_weekly_labor_head_count,1,1,1
131,gold,conformed,dim_date,labor,fact_weekly_labor_hours_by_project,1,1,1
132,gold,conformed,dim_date,mpr,fact_cor_adjustment,1,1,1
133,gold,conformed,dim_date,mpr,fact_mpr_base,1,1,1
134,gold,conformed,dim_date,mpr,fact_pcco_adjustments,1,1,1
135,gold,conformed,dim_date,mpr,fact_upqa,1,1,1
136,gold,conformed,dim_project,labor,fact_monthly_subcontractors_hours_by_project,1,1,1
137,gold,conformed,dim_project,labor,fact_weekly_labor_head_count,1,1,1
138,gold,conformed,dim_project,labor,fact_weekly_labor_hours_by_project,1,1,1
139,gold,conformed,dim_project,mpr,fact_cor_adjustment,1,1,1
140,gold,conformed,dim_project,mpr,fact_cost_vs_budget_summary,1,1,1
141,gold,conformed,dim_project,mpr,fact_mpr_base,1,1,1
142,gold,conformed,dim_project,mpr,fact_pcco_adjustments,1,1,1
143,gold,conformed,dim_project,mpr,fact_reconciliation,1,1,1
144,gold,conformed,dim_project,mpr,fact_status,1,1,1
145,gold,conformed,dim_project,mpr,fact_upqa,1,1,1
146,gold,conformed,dim_date,emars,fact_payroll,0,1,1
147,gold,conformed,dim_date,operation_financials,fact_pco_line_items,1,1,1
148,gold,conformed,dim_project,operation_financials,fact_pco_line_items,1,1,1
149,gold,mpr,dim_status,mpr,fact_status,1,1,1
150,gold,mpr,fact_mpr_base,mpr,fact_cor_adjustment,1,1,1
151,gold,mpr,fact_mpr_base,mpr,fact_cost_vs_budget_summary,1,1,1
152,gold,mpr,fact_mpr_base,mpr,fact_pcco_adjustments,1,1,1
153,gold,mpr,fact_mpr_base,mpr,fact_reconciliation,1,1,1
154,gold,mpr,fact_mpr_base,mpr,fact_status,1,1,1
155,gold,mpr,fact_mpr_base,mpr,fact_upqa,1,1,1
156,gold,operation_financials,dim_account_master,labor,fact_weekly_labor_hours_by_project,1,1,1
157,gold,operation_financials,dim_account_master,operation_financials,fact_pco_line_items,1,1,1
158,gold,safety,dim_form,safety,fact_event_task,1,1,1
159,gold,safety,dim_form_location,safety,fact_event_task,1,1,1
160,gold,safety,dim_status,safety,fact_event_task,1,1,1
161,gold,schedule,dim_float_criteria,schedule,fact_task,1,1,1
162,gold,schedule,dim_group,schedule,fact_task,1,1,1
163,gold,conformed,dim_project,schedule,fact_task,1,1,1
164,gold,schedule,dim_task,schedule,fact_task,1,1,1
165,gold,schedule,dim_wbs,schedule,fact_task,1,1,1
166,gold,security,bridge_user_project_relationship,web_app_integration,user_menu_export,0,1,1
167,gold,security,dim_active_directory_user,web_app_integration,user_menu_export,0,1,1
168,gold,security,stg_user_defined_permission_override,web_app_integration,user_menu_export,0,1,1
169,gold,security,stg_user_project_relationship,web_app_integration,user_menu_export,0,1,1
170,gold,web_app_integration,pbi_workspace_reports_export,web_app_integration,pbi_dataset_export,1,1,1
171,gold,web_app_integration,pbi_workspace_reports_export,web_app_integration,user_menu_export,0,1,1
172,gold,NULL,NULL,deficiencies,dim_deficiency_category,1,1,1
173,gold,NULL,NULL,deficiencies,dim_deficiency_cause_disposition,1,1,1
174,gold,NULL,NULL,deficiencies,dim_deficiency_csi_code,1,1,1
175,gold,NULL,NULL,deficiencies,dim_deficiency_division_group,1,1,1
176,gold,NULL,NULL,deficiencies,fact_deficiency,1,1,1
177,gold,NULL,NULL,operation_financials,fact_accounts_payable,1,1,1
178,gold,conformed,dim_company,deficiencies,fact_deficiency,1,1,1
179,gold,conformed,dim_company,operation_financials,fact_accounts_payable,1,1,1
180,gold,conformed,dim_date,deficiencies,fact_deficiency,1,1,1
181,gold,conformed,dim_date,operation_financials,fact_accounts_payable,1,1,1
182,gold,conformed,dim_project,deficiencies,fact_deficiency,1,1,1
183,gold,deficiencies,dim_deficiency_category,deficiencies,fact_deficiency,1,1,1
184,gold,deficiencies,dim_deficiency_cause_disposition,deficiencies,fact_deficiency,1,1,1
185,gold,deficiencies,dim_deficiency_csi_code,deficiencies,fact_deficiency,1,1,1
186,gold,deficiencies,dim_deficiency_division_group,deficiencies,fact_deficiency,1,1,1
187,gold,NULL,NULL,heavyjob,fact_daily_cost_by_cost_code,1,1,1
188,gold,NULL,NULL,safety_v,fact_incidents_event_task,1,1,1
189,gold,NULL,NULL,safety_v,fact_other_event_task,1,1,1
190,gold,NULL,NULL,safety_v,fact_stcky_svis_event_task,1,1,1
191,gold,NULL,NULL,operation_financials,fact_accounts_receivable,NULL,1,1
192,gold,conformed,dim_date,heavyjob,fact_daily_cost_by_cost_code,1,1,1
193,gold,conformed,dim_project,heavyjob,fact_daily_cost_by_cost_code,1,1,1
194,gold,conformed,dim_project,operation_financials,fact_accounts_receivable,NULL,1,1
195,gold,safety,fact_event_task,safety_v,fact_incidents_event_task,1,1,1
196,gold,safety,fact_event_task,safety_v,fact_other_event_task,1,1,1
197,gold,safety,fact_event_task,safety_v,fact_stcky_svis_event_task,1,1,1
198,gold,NULL,NULL,operation_financials,fact_project_billing,NULL,1,1
199,gold,conformed,dim_date,operation_financials,fact_project_billing,NULL,1,1
200,gold,conformed,dim_project,operation_financials,fact_project_billing,NULL,1,1
201,gold,NULL,NULL,destimator,dim_enr_building_cost_index,1,1,1
202,gold,NULL,NULL,destimator,dim_estimate,1,1,1
203,gold,NULL,NULL,destimator,dim_estimate_feedata,1,1,1
204,gold,NULL,NULL,destimator,dim_estimate_summary,1,1,1
205,gold,NULL,NULL,destimator,dim_estimate_sundtcmt_dictionary,1,1,1
206,gold,NULL,NULL,destimator,dim_rsmeans_escalator,1,1,1
207,gold,NULL,NULL,destimator,fact_estimate_general,1,1,1
208,gold,NULL,NULL,destimator,fact_estimate_hmf,1,1,1
209,gold,NULL,NULL,destimator,fact_estimate_office,1,1,1
210,gold,NULL,NULL,destimator,fact_estimate_parking,1,1,1
211,gold,NULL,NULL,destimator,fact_estimate_project,1,1,1
212,gold,NULL,NULL,destimator,fact_estimate_renovation,1,1,1
213,gold,NULL,NULL,destimator,fact_estimate_sm,1,1,1
214,gold,destimator,dim_estimate,destimator,fact_estimate_general,1,1,1
215,gold,destimator,dim_estimate,destimator,fact_estimate_hmf,1,1,1
216,gold,destimator,dim_estimate,destimator,fact_estimate_office,1,1,1
217,gold,destimator,dim_estimate,destimator,fact_estimate_parking,1,1,1
218,gold,destimator,dim_estimate,destimator,fact_estimate_project,1,1,1
219,gold,destimator,dim_estimate,destimator,fact_estimate_renovation,1,1,1
220,gold,destimator,dim_estimate,destimator,fact_estimate_sm,1,1,1
221,gold,NULL,NULL,prolog,fact_budget,1,1,1
222,gold,NULL,NULL,prolog,fact_change_order_requests,1,1,1
223,gold,NULL,NULL,prolog,fact_contact_list_by_project_number,1,1,1
224,gold,NULL,NULL,prolog,fact_contract_sched_of_values,1,1,1
225,gold,NULL,NULL,prolog,fact_contracts,1,1,1
226,gold,NULL,NULL,prolog,fact_daily_reports,1,1,1
227,gold,NULL,NULL,prolog,fact_fieldpo,1,1,1
228,gold,NULL,NULL,prolog,fact_pccos,1,1,1
229,gold,NULL,NULL,prolog,fact_potential_change_orders,1,1,1
230,gold,NULL,NULL,prolog,fact_potential_changeorder_line_items,1,1,1
231,gold,NULL,NULL,prolog,fact_projects_with_assigned_roles,1,1,1
232,gold,NULL,NULL,prolog,fact_request_for_information,1,1,1
233,gold,NULL,NULL,prolog,fact_safety,1,1,1
234,gold,NULL,NULL,prolog,fact_sub_contract_change_order,1,1,1
235,gold,NULL,NULL,prolog,fact_submittal_reviewers,1,1,1
236,gold,NULL,NULL,prolog,fact_submittals,1,1,1
237,gold,NULL,NULL,cmt,destimator_enrbuildingcostindex,1,1,1
238,gold,NULL,NULL,cmt,destimator_estimatedatadetails_general,1,1,1
239,gold,NULL,NULL,cmt,destimator_estimatedatadetails_hmf,1,1,1
240,gold,NULL,NULL,cmt,destimator_estimatedatadetails_office,1,1,1
241,gold,NULL,NULL,cmt,destimator_estimatedatadetails_parking,1,1,1
242,gold,NULL,NULL,cmt,destimator_estimatedatadetails_project,1,1,1
243,gold,NULL,NULL,cmt,destimator_estimatedatadetails_renovation,1,1,1
244,gold,NULL,NULL,cmt,destimator_estimatedatadetails_sm,1,1,1
245,gold,NULL,NULL,cmt,destimator_estimatefeedatadetails,1,1,1
246,gold,NULL,NULL,cmt,destimator_estimatesummarydatadetails,1,1,1
247,gold,NULL,NULL,cmt,destimator_historicalcostdata,1,1,1
248,gold,NULL,NULL,cmt,destimator_rsmeansescalator,1,1,1
249,gold,NULL,NULL,cmt,destimator_sundtcmt_st_dictionary,1,1,1
250,gold,NULL,NULL,cosential,bridge_cosential_project_opportunity_contact,1,1,1
251,gold,NULL,NULL,cosential,dim_construction_type,1,1,1
252,gold,NULL,NULL,cosential,dim_cosential_company,1,1,1
253,gold,NULL,NULL,cosential,dim_cosential_contact,1,1,1
254,gold,NULL,NULL,cosential,dim_cosential_project_opportunity_hierarchy,1,1,1
255,gold,NULL,NULL,cosential,dim_office,1,1,1
256,gold,NULL,NULL,cosential,dim_opportunity,1,1,1
257,gold,NULL,NULL,cosential,dim_opportunity_staff,1,1,1
258,gold,NULL,NULL,cosential,dim_personnel,1,1,1
259,gold,NULL,NULL,cosential,dim_project_awards,1,1,1
260,gold,NULL,NULL,cosential,dim_project_certifications,1,1,1
261,gold,NULL,NULL,cosential,dim_project_fees_contract,1,1,1
262,gold,NULL,NULL,cosential,dim_project_joint_venture,1,1,1
263,gold,NULL,NULL,cosential,dim_project_joint_venture_other,1,1,1
264,gold,NULL,NULL,cosential,dim_project_market,1,1,1
265,gold,NULL,NULL,cosential,dim_project_reference,1,1,1
266,gold,NULL,NULL,cosential,dim_project_staff,1,1,1
267,gold,NULL,NULL,cosential,dim_project_type,1,1,1
268,gold,NULL,NULL,cosential,dim_studio,1,1,1
269,gold,NULL,NULL,cosential,dim_subproject,1,1,1
270,gold,NULL,NULL,cosential,dim_type,1,1,1
271,gold,NULL,NULL,cosential,fact_opportunity,1,1,1
272,gold,NULL,NULL,cosential,fact_project,1,1,1
273,gold,conformed,dim_date,cosential,fact_opportunity,1,1,1
274,gold,conformed,dim_project,cosential,bridge_cosential_project_opportunity_contact,1,1,1
275,gold,conformed,dim_project,cosential,dim_cosential_project_opportunity_hierarchy,1,1,1
276,gold,conformed,dim_project,cosential,dim_opportunity,1,1,1
277,gold,conformed,dim_project,cosential,dim_project_awards,1,1,1
278,gold,conformed,dim_project,cosential,dim_project_certifications,1,1,1
279,gold,conformed,dim_project,cosential,dim_project_fees_contract,1,1,1
280,gold,conformed,dim_project,cosential,dim_project_joint_venture,1,1,1
281,gold,conformed,dim_project,cosential,dim_project_joint_venture_other,1,1,1
282,gold,conformed,dim_project,cosential,dim_project_market,1,1,1
283,gold,conformed,dim_project,cosential,dim_project_reference,1,1,1
284,gold,conformed,dim_project,cosential,dim_project_staff,1,1,1
285,gold,conformed,dim_project,cosential,dim_project_type,1,1,1
286,gold,conformed,dim_project,cosential,dim_subproject,1,1,1
287,gold,conformed,dim_project,cosential,fact_opportunity,1,1,1
288,gold,conformed,dim_project,cosential,fact_project,1,1,1
289,gold,conformed,dim_zipcodes,cosential,dim_opportunity,0,1,1
290,gold,conformed,dim_zipcodes,cosential,fact_opportunity,0,1,1
291,gold,cosential,dim_cosential_company,cosential,dim_cosential_contact,1,1,1
292,gold,cosential,dim_cosential_company,cosential,dim_opportunity,1,1,1
293,gold,cosential,dim_cosential_company,cosential,fact_opportunity,1,1,1
294,gold,cosential,dim_cosential_contact,cosential,bridge_cosential_project_opportunity_contact,1,1,1
295,gold,cosential,dim_opportunity,cosential,dim_office,1,1,1
296,gold,cosential,dim_opportunity,cosential,dim_opportunity_staff,1,1,1
297,gold,cosential,dim_opportunity,cosential,dim_studio,1,1,1
298,gold,cosential,dim_opportunity,cosential,fact_opportunity,1,1,1
299,gold,cosential,fact_project,cosential,dim_project_awards,1,1,1
300,gold,cosential,fact_project,cosential,dim_project_certifications,1,1,1
301,gold,cosential,fact_project,cosential,dim_project_joint_venture,1,1,1
302,gold,cosential,fact_project,cosential,dim_project_joint_venture_other,1,1,1
303,gold,cosential,fact_project,cosential,dim_project_market,1,1,1
304,gold,cosential,fact_project,cosential,dim_project_reference,1,1,1
305,gold,cosential,fact_project,cosential,dim_project_staff,1,1,1
306,gold,cosential,fact_project,cosential,dim_project_type,1,1,1
307,gold,cosential,fact_project,cosential,dim_subproject,1,1,1
308,gold,NULL,NULL,proforma,fact_proforma,1,1,1
309,gold,NULL,NULL,operation_financials,fact_executive_summary,1,1,1
310,gold,conformed,dim_date,operation_financials,fact_executive_summary,1,1,1
311,gold,conformed,dim_project,operation_financials,fact_executive_summary,1,1,1
312,gold,conformed,dim_project,proforma,fact_proforma,1,1,1
313,gold,NULL,NULL,operation_financials,fact_wpr_weekly,NULL,1,1
314,gold,NULL,NULL,operation_financials,stg_fact_wpr_weekly,0,1,1
315,gold,NULL,NULL,operation_financials_v,dim_account_master_lvl7_v,NULL,1,1
316,gold,NULL,NULL,operation_financials_v,fact_wpr_weekly_rpt_v,0,1,1
317,gold,NULL,NULL,schedule_v,fact_average_daily_labor_by_date_v,NULL,1,1
318,gold,NULL,NULL,schedule_v,fact_average_daily_labor_v,NULL,1,1
319,gold,NULL,NULL,schedule_v,fact_task_current_max_week_v,NULL,1,1
320,gold,conformed,dim_project,operation_financials,fact_wpr_weekly,NULL,1,1
321,gold,operation_financials,dim_account_master,operation_financials,fact_wpr_weekly,NULL,1,1
322,gold,operation_financials,dim_account_master,operation_financials_v,dim_account_master_lvl7_v,NULL,1,1
323,gold,operation_financials,dim_account_master,operation_financials_v,fact_wpr_weekly_rpt_v,0,1,1
324,gold,operation_financials,fact_account_balance,operation_financials,fact_wpr_weekly,NULL,1,1
325,gold,operation_financials,fact_account_balance,operation_financials,stg_fact_wpr_weekly,0,1,1
326,gold,operation_financials,fact_wpr_weekly,operation_financials_v,fact_wpr_weekly_rpt_v,0,1,1
327,gold,operation_financials,stg_fact_wpr_weekly,operation_financials,fact_wpr_weekly,0,1,1
328,gold,schedule,fact_task,schedule_v,fact_average_daily_labor_by_date_v,NULL,1,1
329,gold,schedule,fact_task,schedule_v,fact_average_daily_labor_v,NULL,1,1
330,gold,schedule,fact_task,schedule_v,fact_task_current_max_week_v,NULL,1,1
331,gold,schedule,dim_task,schedule_v,fact_task_current_max_week_v,NULL,1,1
332,gold,NULL,NULL,cosential_v,fact_opportunity_current_v,1,1,1
333,gold,cosential,fact_opportunity,cosential_v,fact_opportunity_current_v,1,1,1
334,gold,NULL,NULL,cosential,fact_opportunity_notes,1,1,1
335,gold,conformed,dim_date,cosential,fact_opportunity_notes,1,1,1
336,gold,cosential,dim_opportunity,cosential,fact_opportunity_notes,1,1,1
337,gold,cosential,dim_personnel,cosential,fact_opportunity_notes,1,1,1
338,gold,equipment,dim_equipment,equipment,fact_equipment_site_rate_integration_log,1,1,1
339,gold,equipment,dim_equipment_rate_group,equipment,fact_equipment_site_rate_integration_log,1,1,1
340,gold,equipment,dim_equipment_status,equipment,fact_equipment_site_rate_integration_log,1,1,1
341,gold,equipment,fact_equipment_site_rate_integration_log,equipment_secured_v,fact_equipment_site_rates_ineight_current_v,1,1,1
342,gold,NULL,NULL,equipment,dim_equipment,1,1,1
343,gold,NULL,NULL,equipment,dim_equipment_rate_group,1,1,1
344,gold,NULL,NULL,equipment,dim_equipment_status,1,1,1
345,gold,NULL,NULL,equipment,fact_equipment_site_rate_integration_log,1,1,1
346,gold,conformed,dim_date,equipment,fact_equipment_site_rate_integration_log,1,1,1
347,gold,conformed,dim_project,equipment,dim_equipment,1,1,1
348,gold,conformed,dim_project,equipment,fact_equipment_site_rate_integration_log,1,1,1
349,gold,NULL,NULL,mpr,data_import_log,1,1,1
350,gold,NULL,NULL,mpr,stg_account_balances,1,1,1
351,gold,NULL,NULL,mpr,stg_account_master,1,1,1
352,gold,NULL,NULL,mpr,stg_billing_summary,1,1,1
353,gold,NULL,NULL,mpr,stg_contracts,1,1,1
354,gold,NULL,NULL,mpr,stg_employee_project,1,1,1
355,gold,NULL,NULL,security,ref_user_project_role,1,1,1
356,gold,NULL,NULL,web_app_integration,project_notes_export,1,1,1
357,gold,conformed,dim_date,mpr,stg_account_balances,1,1,1
358,gold,conformed,dim_date,mpr,stg_billing_summary,1,1,1
359,gold,conformed,dim_project,mpr,stg_account_balances,1,1,1
360,gold,conformed,dim_project,mpr,stg_billing_summary,1,1,1
361,gold,conformed,dim_project,mpr,stg_contracts,1,1,1
362,gold,conformed,dim_project,mpr,stg_employee_project,1,1,1
363,gold,conformed,dim_project,security,ref_user_project_role,1,1,1
364,gold,mpr,stg_account_balances,mpr,data_import_log,1,1,1
365,gold,mpr,stg_account_master,mpr,data_import_log,1,1,1
366,gold,mpr,stg_billing_summary,mpr,data_import_log,1,1,1
367,gold,mpr,stg_contracts,mpr,data_import_log,1,1,1
368,gold,mpr,stg_employee_project,mpr,data_import_log,1,1,1
369,gold,operation_financials,dim_account_master,mpr,stg_account_balances,1,1,1
370,gold,operation_financials,dim_account_master,mpr,stg_account_master,1,1,1
371,gold,operation_financials,fact_account_balance,mpr,stg_account_balances,1,1,1
372,gold,prolog,fact_change_order_requests,mpr,stg_contracts,1,1,1
373,gold,prolog,fact_pccos,mpr,stg_contracts,1,1,1
374,gold,prolog,fact_potential_change_orders,mpr,stg_contracts,1,1,1
375,gold,prolog,fact_prolog_contracts,mpr,stg_contracts,1,1,1
376,gold,operation_financials,fact_project_billing,mpr,stg_billing_summary,1,1,1
377,gold,operation_financials,fact_project_cash_position,mpr,stg_billing_summary,1,1,1
378,gold,security,ref_user_project_role,mpr,stg_employee_project,1,1,1
379,gold,security,stg_user_defined_permission_override,mpr,stg_employee_project,0,1,1
380,gold,NULL,NULL,project_mgmt_core,fact_project_details,1,1,1
381,gold,conformed,dim_date,project_mgmt_core,fact_project_details,1,1,1
382,gold,conformed,dim_project,project_mgmt_core,fact_project_details,1,1,1
383,gold,NULL,NULL,equipment,fact_equipment,1,1,1
384,gold,NULL,NULL,equipment,fact_equipment_gl_trans,1,1,1
385,gold,NULL,NULL,equipment_v,dim_account_master_all_v,1,1,1
386,gold,NULL,NULL,operation_financials,dim_document_type,1,1,1
387,gold,NULL,NULL,operation_financials,dim_ledger_type,1,1,1
388,gold,conformed,dim_company,equipment,fact_equipment_gl_trans,1,1,1
389,gold,conformed,dim_date,equipment,fact_equipment,1,1,1
390,gold,conformed,dim_date,equipment,fact_equipment_gl_trans,1,1,1
391,gold,conformed,dim_project,equipment,fact_equipment,1,1,1
392,gold,conformed,dim_project,equipment,fact_equipment_gl_trans,1,1,1
393,gold,conformed,dim_project,equipment_v,dim_project_bu_all_v,1,1,1
394,gold,equipment,dim_equipment,equipment,fact_equipment,1,1,1
395,gold,equipment,dim_equipment,equipment,fact_equipment_gl_trans,1,1,1
396,gold,equipment,dim_equipment_rate_group,equipment,fact_equipment,1,1,1
397,gold,equipment,dim_equipment_status,equipment,fact_equipment,1,1,1
398,gold,operation_financials,dim_account_master,equipment,fact_equipment_gl_trans,1,1,1
399,gold,equipment,fact_equipment,equipment_v,fact_equipment_rental_in_service_v,1,1,1
400,gold,operation_financials,dim_document_type,equipment,fact_equipment_gl_trans,1,1,1
401,gold,operation_financials,dim_ledger_type,equipment,fact_equipment_gl_trans,1,1,1
406,gold,NULL,NULL,cosential,dim_cosential_states,1,1,1
407,gold,NULL,NULL,cosential,dim_project_consultants,1,1,1
408,gold,NULL,NULL,cosential,dim_project_consultants_contacts,1,1,1
409,gold,NULL,NULL,cosential,dim_project_descriptions,1,1,1
410,gold,NULL,NULL,cosential,dim_project_owner_client,1,1,1
411,gold,NULL,NULL,cosential,dim_project_owner_client_contacts,1,1,1
412,gold,NULL,NULL,cosential,dim_service_types,1,1,1
413,gold,NULL,NULL,cosential,dim_project_reference_testimonials,1,1,1
414,gold,NULL,NULL,safety,dim_ineight_role,1,1,1
415,gold,conformed,dim_project,cosential,dim_project_consultants,1,1,1
416,gold,conformed,dim_project,cosential,dim_project_consultants_contacts,1,1,1
417,gold,conformed,dim_project,cosential,dim_project_descriptions,1,1,1
418,gold,conformed,dim_project,cosential,dim_project_owner_client,1,1,1
419,gold,conformed,dim_project,cosential,dim_project_owner_client_contacts,1,1,1
420,gold,conformed,dim_project,cosential,dim_service_types,1,1,1
421,gold,conformed,dim_project,cosential,dim_project_reference_testimonials,1,1,1
422,gold,cosential,fact_project,cosential,dim_project_consultants,1,1,1
423,gold,cosential,fact_project,cosential,dim_project_consultants_contacts,1,1,1
402,gold,NULL,NULL,equipment,fact_equipment_status_history,1,1,1
403,gold,conformed,dim_date,equipment,fact_equipment_status_history,1,1,1
404,gold,equipment,dim_equipment,equipment,fact_equipment_status_history,1,1,1
405,gold,equipment,dim_equipment_status,equipment,fact_equipment_status_history,1,1,1
429,gold,NULL,NULL,cosential,dim_project_documents,1,1,1
